Sample_ID;Chip_ID;BeeSpecies;Nest_number;Collecting date;Sample_type;Stored_in;include
X4;S1;Scaptotrigona sp;S4;11/10/2019;pollen;nest;yes
X5;S2;Scaptotrigona sp;S7;11/10/2019;pollen;nest;yes
X6;S3;Scaptotrigona sp;S5;11/10/2019;pollen;nest;yes
X7;S4;Tetragonisca angustula;T5;11/10/2019;pollen;nest;yes
X8;S5;Melipona rufiventris;M1;11/10/2019;pollen;nest;yes
X9;S6;Tetragonisca angustula;T6;11/10/2019;pollen;nest;yes
X10;S7;Tetragonisca angustula;T4;11/10/2019;pollen;nest;yes
X11;S8;Melipona rufiventris;M2;11/10/2019;pollen;nest;yes
X12;S9;Tetragonisca angustula;T7;11/10/2019;pollen;nest;yes
X13;S10;Tetragonisca angustula;T3;11/10/2019;pollen;nest;yes
X14;S11;Scaptotrigona sp;S1;11/10/2019;pollen;nest;yes
X15;S12;Tetragonisca angustula;T7;11/10/2019;pollen;nest;yes
X16;S13;Scaptotrigona sp;S2;11/10/2019;pollen;nest;yes
X17;S14;Scaptotrigona sp;S6;11/10/2019;pollen;nest;yes
X18;S15;Scaptotrigona sp;S6;29/10/2019;pollen;nest;yes
X19;S16;Scaptotrigona sp;S3;29/10/2019;pollen;nest;yes
X20;S17;Tetragonisca angustula;T6;29/10/2019;pollen;nest;yes
X21;S18;Scaptotrigona sp;S4;29/10/2019;pollen;nest;yes
X22;S19;Tetragonisca angustula;T5;29/10/2019;pollen;nest;yes
X23;S20;Melipona rufiventris;M4;29/10/2019;pollen;nest;yes
X24;S21;Melipona rufiventris;M2;29/10/2019;pollen;nest;yes
X25;S22;Tetragonisca angustula;T4;29/10/2019;pollen;nest;yes
X26;S23;Tetragonisca angustula;t3;29/10/2019;pollen;nest;yes
X27;S24;Tetragonisca angustula;T7;29/10/2019;pollen;nest;yes
X28;S25;Melipona rufiventris;M1;29/10/2019;pollen;nest;yes
X29;S26;Tetragonisca angustula;t2;29/10/2019;pollen;nest;yes
X30;S27;Tetragonisca angustula;T1;29/10/2019;pollen;nest;yes
X31;S28;Scaptotrigona sp;S1;29/10/2019;pollen;nest;yes
X32;S29;Scaptotrigona sp;S7;29/10/2019;pollen;nest;yes
X33;S30;Scaptotrigona sp;S2;29/10/2019;pollen;nest;yes
X34;S31;Tetragonisca angustula;t5;12/11/2019;pollen;nest;yes
X35;S32;Scaptotrigona sp;S3;12/11/2019;pollen;nest;yes
X36;S33;Scaptotrigona sp;S4;12/11/2019;pollen;nest;yes
X37;S34;Scaptotrigona sp;S6;12/11/2019;pollen;nest;yes
X38;S35;Scaptotrigona sp;s4;12/11/2019;pollen;nest;yes
X39;S36;Tetragonisca angustula;T6;12/11/2019;pollen;nest;yes
X40;S37;Melipona rufiventris;M4;12/11/2019;pollen;nest;yes
X41;S38;Tetragonisca angustula;t4;12/11/2019;pollen;nest;yes
X42;S39;Tetragonisca angustula;t3;12/11/2019;pollen;nest;yes
X43;S40;Tetragonisca angustula;T7;12/11/2019;pollen;nest;yes
X44;S41;Melipona rufiventris;M1;12/11/2019;pollen;nest;yes
X45;S42;Tetragonisca angustula;t2;12/11/2019;pollen;nest;yes
X47;S43;Scaptotrigona sp;S2;12/11/2019;pollen;nest;yes
X48;S44;Tetragonisca angustula;T2;12/11/2019;pollen;nest;yes
X49;S45;Scaptotrigona sp;S1;12/11/2019;pollen;nest;yes
X50;S46;Scaptotrigona sp;S2;12/11/2019;pollen;nest;yes
X51;S47;Scaptotrigona sp;S3;22/11/2019;pollen;nest;yes
X52;S48;Scaptotrigona sp;S6;22/11/2019;pollen;nest;yes
X53;S49;Scaptotrigona sp;S4;22/11/2019;pollen;nest;yes
X54;S50;Tetragonisca angustula;T4;22/11/2019;pollen;nest;yes
X55;S51;Tetragonisca angustula;T6;22/11/2019;pollen;nest;yes
X56;S52;Tetragonisca angustula;T5;22/11/2019;pollen;nest;yes
X57;S53;Melipona rufiventris;M4;22/11/2019;pollen;nest;yes
X58;S54;Tetragonisca angustula;T1;22/11/2019;pollen;nest;yes
X59;S55;Tetragonisca angustula;T7;22/11/2019;pollen;nest;yes
X60;S56;Tetragonisca angustula;T2;22/11/2019;pollen;nest;yes
X61;S57;Melipona rufiventris;M1;22/11/2019;pollen;nest;yes
X62;S58;Scaptotrigona sp;S2;22/11/2019;pollen;nest;yes
X64;S59;Scaptotrigona sp;S7;22/11/2019;pollen;nest;yes
X65;S60;Scaptotrigona sp;SC43;22/11/2019;pollen;nest;yes
X66;S61;Scaptotrigona sp;S2;22/11/2019;pollen;nest;yes
X67;S62;Tetragonisca angustula;T7;21/9/2019;pollen;nest;yes
X68;S63;Tetragonisca angustula;T2;21/9/2019;pollen;nest;yes
X69;S64;Tetragonisca angustula;T3;21/9/2019;pollen;nest;yes
X70;S65;Tetragonisca angustula;T6;21/9/2019;pollen;nest;yes
X71;S66;Tetragonisca angustula;T6;21/9/2019;pollen;nest;yes
X72;S67;Melipona rufiventris;M4;21/9/2019;pollen;nest;yes
X73;S68;Melipona rufiventris;M1;21/9/2019;pollen;nest;yes
X74;S69;Tetragonisca angustula;T6;21/9/2019;pollen;nest;yes
X75;S70;Scaptotrigona sp;S4;21/9/2019;pollen;nest;yes
X76;S71;Melipona rufiventris;M2;21/9/2019;pollen;nest;yes
X77;S72;Tetragonisca angustula;T4;21/9/2019;pollen;nest;yes
X78;S73;Tetragonisca angustula;T6;21/9/2019;pollen;nest;yes
X79;S74;Scaptotrigona sp;S6;21/9/2019;pollen;nest;yes
X80;S75;Scaptotrigona sp;S6;21/9/2019;pollen;nest;yes
X87;S76;Tetragonisca angustula;T5;11/10/2019;honey;nest;yes
X88;S77;Tetragonisca angustula;T6;11/10/2019;honey;nest;yes
X89;S78;Tetragonisca angustula;T4;11/10/2019;honey;nest;yes
X93;S79;Scaptotrigona sp;S1;11/10/2019;honey;nest;yes
X94;S80;Scaptotrigona sp;S6;29/10/2019;honey;nest;yes
X95;S81;Scaptotrigona sp;S3;29/10/2019;honey;nest;yes
X96;S82;Scaptotrigona sp;S4;29/10/2019;honey;nest;yes
X97a;S183;Melipona rufiventris;M4;29/10/2019;honey;nest;yes
X97b;S184;Melipona rufiventris;M4;29/10/2019;honey;nest;yes
X98a;S185;Melipona rufiventris;M2;29/10/2019;honey;nest;yes
X98b;S186;Melipona rufiventris;M2;29/10/2019;honey;nest;yes
X99;S83;Tetragonisca angustula;T4;29/10/2019;honey;nest;yes
X100;S84;Tetragonisca angustula;T7;29/10/2019;honey;nest;yes
X101;S85;Melipona rufiventris;M1;29/10/2019;honey;nest;yes
X102;S86;Tetragonisca angustula;T2;29/10/2019;honey;nest;yes
X103;S87;Tetragonisca angustula;T1;29/10/2019;honey;nest;yes
X104;S88;Scaptotrigona sp;S1;29/10/2019;honey;nest;yes
X105;S89;Tetragonisca angustula;T5;12/11/2019;honey;nest;yes
X106;S90;Scaptotrigona sp;S3;12/11/2019;honey;nest;yes
X107;S91;Scaptotrigona sp;S6;12/11/2019;honey;nest;yes
X108;S92;Scaptotrigona sp;S4;12/11/2019;honey;nest;yes
X109;S93;Tetragonisca angustula;T6;12/11/2019;honey;nest;yes
X110;S94;Scaptotrigona sp;S2;11/10/2019;honey;nest;yes
X111;S95;Tetragonisca angustula;T4;12/11/2019;honey;nest;yes
X112;S96;Tetragonisca angustula;T7;12/11/2019;honey;nest;yes
X114;S97;Melipona rufiventris;M1;12/11/2019;honey;nest;yes
X115;S98;Tetragonisca angustula;T2;12/11/2019;honey;nest;yes
X116;S99;Scaptotrigona sp;S7;12/11/2019;honey;nest;yes
X117;S100;Scaptotrigona sp;S2;12/11/2019;honey;nest;yes
X118;S101;Tetragonisca angustula;T1;12/11/2019;honey;nest;yes
X119;S102;Scaptotrigona sp;S1;12/11/2019;honey;nest;yes
X120;S103;Scaptotrigona sp;S3;22/11/2019;honey;nest;yes
X121;S104;Scaptotrigona sp;S6;22/11/2019;honey;nest;yes
X122;S105;Scaptotrigona sp;S4;22/11/2019;honey;nest;yes
X123;S106;Tetragonisca angustula;T4;22/11/2019;honey;nest;yes
X124;S107;Scaptotrigona sp;S2;22/11/2019;honey;nest;yes
X125;S108;Tetragonisca angustula;T7;22/11/2019;honey;nest;yes
X126;S109;Tetragonisca angustula;T3;22/11/2019;honey;nest;yes
X127;S110;Tetragonisca angustula;T2;22/11/2019;honey;nest;yes
X128;S111;Melipona rufiventris;M1;22/11/2019;honey;nest;yes
X129;S112;Scaptotrigona sp;S4;10/12/2019;pollen;nest;yes
X130;S113;Scaptotrigona sp;S3;10/12/2019;pollen;nest;yes
X131;S114;Tetragonisca angustula;Ta3;10/12/2019;pollen;nest;yes
X132;S115;Scaptotrigona sp;S10;10/12/2019;pollen;nest;yes
X133;S116;Tetragonisca angustula;Ta2;10/12/2019;pollen;nest;yes
X134;S117;Tetragonisca angustula;Ta5;10/12/2019;pollen;nest;yes
X135;S118;Tetragonisca angustula;Ta7;10/12/2019;pollen;nest;yes
X136;S119;Scaptotrigona sp;S2;10/12/2019;pollen;nest;yes
X137;S120;Tetragonisca angustula;Ta6;10/12/2019;pollen;nest;yes
X138;S121;Melipona rufiventris;M4;10/12/2019;pollen;nest;yes
X139;S122;Scaptotrigona sp;S2;10/12/2019;pollen;nest;yes
X140;S123;Melipona rufiventris;M1;10/12/2019;pollen;nest;yes
X141;S124;Tetragonisca angustula;Ta1;10/12/2019;pollen;nest;yes
X142;S125;Tetragonisca angustula;Ta4;10/12/2019;pollen;nest;yes
X143;S126;Scaptotrigona sp;S6;10/12/2019;pollen;nest;yes
X144;S127;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X145;S128;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X146;S129;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X147;S130;Melipona rufiventris;;10/12/2019;honey;nest;yes
X148;S131;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X149;S132;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X150;S133;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X151;S134;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X152a;S168;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X152b;S169;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X153;S135;Melipona rufiventris;;10/12/2019;honey;nest;yes
X154;S136;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X157;S137;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X159;S138;Tetragonisca angustula;T1;12/11/2019;pollen;nest;yes
X160;S139;Melipona rufiventris;M1;17/12/2019;pollen;nest;yes
X162;S140;Tetragonisca angustula;T4;17/12/2019;pollen;nest;yes
X163;S141;Tetragonisca angustula;T5;17/12/2019;pollen;nest;yes
X164;S142;Tetragonisca angustula;T6;17/12/2019;pollen;nest;yes
X165;S143;Tetragonisca angustula;T3;17/12/2019;pollen;nest;yes
X166;S144;Tetragonisca angustula;T7;17/12/2019;pollen;nest;yes
X167;S145;Scaptotrigona sp;S4;17/12/2019;pollen;nest;yes
X168;S146;Scaptotrigona sp;S3;17/12/2019;pollen;nest;yes
X169;S147;Scaptotrigona sp;S6;17/12/2019;pollen;nest;yes
X170;S148;Scaptotrigona sp;S7;17/12/2019;pollen;nest;yes
X171;S149;Scaptotrigona sp;S9;17/12/2019;pollen;nest;yes
X172;S150;Scaptotrigona sp;S10;17/12/2019;pollen;nest;yes
X173;S151;Scaptotrigona sp;S2;17/12/2019;pollen;nest;yes
X176;S152;Tetragonisca angustula;T6;17/12/2019;honey;nest;yes
X177a;S170;Scaptotrigona sp;S3;17/12/2019;honey;nest;yes
X177b;S171;Scaptotrigona sp;S3;17/12/2019;honey;nest;yes
X178a;S172;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X178b;S173;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X178c;S174;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X179;S153;Tetragonisca angustula;T4;17/12/2019;honey;nest;yes
X180;S154;Scaptotrigona sp;S10;17/12/2019;honey;nest;yes
X181a;S175;Scaptotrigona sp;S9;17/12/2019;honey;nest;yes
X181b;S176;Scaptotrigona sp;S9;17/12/2019;honey;nest;yes
X182a;S177;Scaptotrigona sp;S2;17/12/2019;honey;nest;yes
X182b;S178;Scaptotrigona sp;S2;17/12/2019;honey;nest;yes
X183;S155;Scaptotrigona sp;S6;17/12/2019;honey;nest;yes
X186;S156;Tetragonisca angustula;T3;17/12/2019;honey;nest;yes
X187;S157;Melipona sp;;16/12/2019;pollen;corbicules;no
X188a;S179;Scaptotrigona sp;;16/12/2019;pollen;corbicules;no
X188b;S180;Scaptotrigona sp;;16/12/2019;pollen;corbicules;no
X189;S158;Bombus sp;;16/12/2019;pollen;corbicules;no
X190a;S181;Exomalopsis sp;;16/12/2019;pollen;corbicules;no
X190b;S182;Exomalopsis sp;;16/12/2019;pollen;corbicules;no
X191;S159;Glossophaga soricina;;16/12/2019;pollen;feces;no
X192;S160;Paratrigona linneata;;2019;pollen;corbicules;no
X193;S161;Paratrigona linneata;;2008/2009;pollen;corbicules;no
X194;S162;Exomalopsis sp;;2019;pollen;scopae;no
X195;S163;Exomalopsis sp;;2008/2009;pollen;scopae;no
X196;S164;Exomalopsis fulvofasciata;;2019;pollen;scopae;no
X197;S165;Exomalopsis fulvofasciata;;2008/2009;pollen;scopae;no
X198;S166;Augochloropsis smithiana;;2019;pollen;scopae;no
X199;S167;Augochloropsis smithiana;;2008/2009;pollen;scopae;no
